13-02-2022 11:42,b'@JennyJenocon Grow up #maskoff',b'WendyPu01820112',b'Solihull'
10-02-2022 02:12,b'We were supposed to be all in this together\xe2\x80\xa6 we never said one side and views had to rule and enforce punishment on others\xe2\x80\xa6 #maskoff',b'urbeinglied2',"b'Chicago, IL'"
,,,
10-02-2022 02:10,b'#PoliticalScience: @CNN (#crappynewsnetwork) has dramatically changed the way they\xe2\x80\x99re covering the #pandemic just i\xe2\x80\xa6 https://t.co/llL9k2dFoh',b'sn00pdad',b''
,,,
10-02-2022 00:53,"b'@thehill Yet we still required to wear a mask in public transportation also, when will they lift it. Tired of weari\xe2\x80\xa6 https://t.co/EJnVEySDka'",b'K7Row',"b'California, USA'"
,,,
09-02-2022 23:36,b'don\xe2\x80\x99t fall for commie tact of dropping masks. why r kids still having 2 be masked? oh midterm elections. #maskoff\xe2\x80\xa6 https://t.co/waUjazhmqx',b'1972Barbarella',"b'Pensacola, FL'"
,,,
09-02-2022 22:59,"b'#MaskUpdate: #Democrat States say 1 thing &amp; #nitwit @PressSec says #Parents, #teachers, &amp; #students should still we\xe2\x80\xa6 https://t.co/KkOYNYQKAR'",b'sn00pdad',b''
,,,
09-02-2022 21:33,"b'When #Nevada drops their mask mandate this month, sheep will still be wearing them outside/inside. #Vegas #Reno #LasVegas #MaskOff'",b'HighSoxBaller',"b'Las Vegas, NV'"
,,,
09-02-2022 19:56,b'#nofuckingway&lt;---- #staceyabrams #yurfiurd---&gt;to who took and uploaded the pic...#lololol\n#maskon #maskoff\xe2\x80\xa6 https://t.co/lORPpzwA0n',b'SenatorDegen',b''
,,,
09-02-2022 19:45,b'Of course #nitwit @PressSec cannot make that #assessment because it requires one to actually use common sense to re\xe2\x80\xa6 https://t.co/XL8Hw9M7L9',b'sn00pdad',b''
,,,
09-02-2022 19:37,b'#RulesForTheeNotMe brought to you by the #Democrats. #MaskOff #Masking #Dems #MaskUp #MaskOver https://t.co/MP0AKNUmJk',b'sn00pdad',b''
,,,
